Id,Category
1,1
2,8
3,9
4,6
5,9
6,9
7,3
8,1
9,5
10,1
11,6
12,0
13,1
14,2
15,6
16,6
17,9
18,3
19,4
20,8
21,7
22,3
23,7
24,6
25,6
26,5
27,4
28,4
29,6
30,8
31,6
32,1
33,9
34,6
35,7
36,4
37,9
38,7
39,6
40,2
41,6
42,9
43,8
44,3
45,8
46,3
47,1
48,8
49,9
50,5
51,4
52,4
53,2
54,0
55,8
56,2
57,3
58,8
59,9
60,3
61,3
62,2
63,3
64,1
65,8
66,5
67,1
68,9
69,2
70,1
71,6
72,0
73,9
74,0
75,1
76,3
77,1
78,2
79,3
80,4
81,1
82,1
83,0
84,0
85,4
86,0
87,1
88,7
89,8
90,5
91,4
92,5
93,2
94,4
95,0
96,8
97,6
98,9
99,8
100,7
101,9
102,0
103,3
104,8
105,8
106,4
107,8
108,2
109,3
110,2
111,7
112,0
113,0
114,8
115,7
116,6
117,9
118,5
119,4
120,7
121,9
122,2
123,0
124,8
125,4
126,0
127,2
128,8
129,8
130,6
131,1
132,4
133,1
134,1
135,9
136,2
137,2
138,3
139,4
140,3
141,1
142,1
143,2
144,9
145,1
146,9
147,5
148,8
149,5
150,1
151,8
152,2
153,0
154,4
155,3
156,3
157,7
158,6
159,2
160,0
161,6
162,7
163,4
164,2
165,4
166,1
167,3
168,4
169,0
170,4
171,2
172,4
173,7
174,1
175,0
176,2
177,2
178,9
179,1
180,4
181,4
182,9
183,2
184,8
185,2
186,7
187,1
188,6
189,8
190,0
191,4
192,7
193,2
194,6
195,8
196,5
197,8
198,9
199,5
200,3
201,1
202,8
203,9
204,3
205,7
206,6
207,3
208,9
209,7
210,0
211,9
212,3
213,2
214,4
215,9
216,4
217,7
218,3
219,7
220,6
221,2
222,4
223,6
224,6
225,4
226,3
227,9
228,4
229,2
230,9
231,6
232,6
233,2
234,2
235,5
236,1
237,3
238,0
239,2
240,4
241,0
242,9
243,5
244,1
245,9
246,5
247,7
248,9
249,2
250,3
251,8
252,9
253,8
254,3
255,5
256,3
257,3
258,8
259,6
260,1
261,0
262,0
263,2
264,4
265,2
266,4
267,0
268,0
269,5
270,2
271,9
272,6
273,8
274,5
275,1
276,5
277,4
278,5
279,1
280,8
281,4
282,5
283,2
284,9
285,0
286,9
287,3
288,1
289,4
290,5
291,7
292,1
293,2
294,6
295,6
296,0
297,6
298,9
299,0
300,6
301,6
302,5
303,3
304,8
305,7
306,5
307,9
308,0
309,8
310,5
311,7
312,8
313,1
314,1
315,0
316,7
317,7
318,2
319,9
320,3
321,7
322,6
323,7
324,0
325,8
326,0
327,1
328,8
329,3
330,6
331,7
332,9
333,4
334,6
335,2
336,3
337,7
338,1
339,8
340,2
341,0
342,3
343,4
344,4
345,8
346,6
347,4
348,4
349,5
350,3
351,0
352,7
353,0
354,0
355,7
356,9
357,1
358,2
359,8
360,6
361,6
362,5
363,6
364,3
365,5
366,7
367,7
368,0
369,8
370,1
371,4
372,8
373,9
374,2
375,4
376,4
377,6
378,1
379,1
380,9
381,6
382,8
383,8
384,5
385,1
386,0
