Id,Category
1,0
2,6
3,0
4,3
5,4
6,7
7,9
8,5
9,2
10,0
11,7
12,7
13,6
14,9
15,9
16,9
17,6
18,9
19,4
20,0
21,4
22,3
23,8
24,0
25,7
26,9
27,0
28,6
29,3
30,7
31,1
32,2
33,8
34,7
35,0
36,5
37,8
38,6
39,3
40,7
41,5
42,3
43,2
44,3
45,9
46,4
47,3
48,5
49,0
50,1
51,5
52,3
53,0
54,8
55,4
56,2
57,6
58,5
59,8
60,2
61,6
62,9
63,7
64,6
65,7
66,3
67,7
68,3
69,4
70,3
71,8
72,1
73,5
74,7
75,2
76,6
77,9
78,6
79,3
80,6
81,3
82,4
83,4
84,1
85,7
86,1
87,1
88,0
89,7
90,3
91,0
92,3
93,3
94,4
95,5
96,9
97,3
98,5
99,7
100,3
101,3
102,6
103,2
104,8
105,0
106,6
107,1
108,6
109,0
110,4
111,4
112,7
113,5
114,0
115,1
116,6
117,8
118,2
119,1
120,6
121,6
122,1
123,5
124,0
125,0
126,5
127,3
128,8
129,9
130,5
131,4
132,9
133,0
134,0
135,0
136,5
137,7
138,4
139,1
140,8
141,3
142,7
143,7
144,3
145,6
146,5
147,4
148,8
149,1
150,7
151,9
152,9
153,2
154,9
155,2
156,2
157,3
158,9
159,1
160,2
161,1
162,1
163,5
164,0
165,4
166,1
167,5
168,6
169,9
170,9
171,2
172,3
173,8
174,4
175,8
176,4
177,9
178,1
179,9
180,3
181,1
182,9
183,0
184,2
185,5
186,5
187,7
188,9
189,6
190,1
191,5
192,1
193,6
194,6
195,7
196,9
197,9
198,1
199,0
200,3
201,0
202,9
203,3
204,0
205,3
206,2
207,0
208,1
209,9
210,3
211,1
212,6
213,5
214,7
215,9
216,8
217,8
218,6
219,0
220,0
221,6
222,3
223,3
224,7
225,8
226,0
227,2
228,3
229,5
230,8
231,5
232,3
233,1
234,9
235,7
236,3
237,8
238,7
239,7
240,3
241,1
242,5
243,7
244,5
245,4
246,9
247,1
248,8
249,1
250,7
251,2
252,2
253,6
254,1
255,6
256,9
257,0
258,0
259,6
260,4
261,4
262,3
263,0
264,1
265,4
266,8
267,7
268,9
269,7
270,6
271,2
272,6
273,5
274,9
275,1
276,6
277,4
278,2
279,9
280,7
281,9
282,3
283,9
284,3
285,7
286,8
287,9
288,7
289,0
290,7
291,6
292,1
293,4
294,9
295,1
296,7
297,8
298,0
299,9
300,6
301,6
302,2
303,0
304,6
305,7
306,0
307,9
308,4
309,7
310,4
311,6
312,0
313,2
314,3
315,3
316,8
317,8
318,4
319,9
320,6
321,3
322,4
323,9
324,3
325,6
326,3
327,4
328,7
329,8
330,2
331,9
332,7
333,3
334,8
335,9
336,2
337,3
338,7
339,7
340,8
341,4
342,8
343,9
344,5
345,9
346,7
347,9
348,5
349,1
350,5
351,1
352,0
353,1
354,9
355,1
356,7
357,2
358,5
359,6
360,2
361,3
362,2
363,7
364,6
365,3
366,8
367,1
368,8
369,9
370,0
371,9
372,6
373,9
374,4
375,6
376,3
377,2
378,1
379,2
380,0
381,2
382,6
383,9
384,2
385,4
386,7
387,2
388,6
389,3
390,5
391,8
392,5
393,8
394,0
395,3
396,4
397,6
398,5
399,0
400,8
401,8
402,9
403,5
404,0
405,6
406,1
407,7
408,9
409,6
410,1
411,5
412,6
413,8
414,4
415,7
416,3
417,7
418,6
419,9
420,4
421,7
422,3
423,9
424,9
425,7
426,3
427,6
428,0
429,8
430,1
431,4
432,6
433,2
434,1
435,6
436,0
437,0
438,1
439,7
440,0
441,7
442,8
443,9
444,3
445,4
446,2
447,2
448,6
449,8
450,2
451,0
452,3
453,6
454,3
455,1
456,5
457,4
458,1
459,3
460,0
461,6
462,0
463,6
464,7
465,6
466,5
467,6
468,2
469,8
470,1
471,8
472,3
473,1
474,7
475,1
476,7
477,2
478,0
479,1
480,8
481,3
482,9
483,4
484,9
485,2
486,5
487,2
488,9
489,1
490,6
491,9
492,7
493,0
494,9
495,9
496,0
497,1
498,4
499,5
500,3
501,6
502,6
503,0
504,2
505,6
506,6
507,4
508,8
509,2
510,2
511,8
512,5
513,4
514,3
515,8
516,0
517,7
518,4
519,7
520,5
521,7
522,8
523,7
524,5
525,2
526,6
527,6
528,3
529,8
530,2
531,6
532,4
533,1
534,8
535,0
536,8
537,0
538,6
539,0
540,1
541,2
542,4
543,5
544,2
545,0
546,2
547,9
548,6
549,9
550,9
551,5
552,9
553,1
554,8
555,6
556,3
557,4
558,7
559,7
560,4
561,6
562,2
563,0
564,3
565,2
566,2
567,6
568,0
569,1
570,3
571,5
572,9
573,6
574,1
575,8
576,4
577,1
578,9
579,7
580,6
581,9
582,7
583,1
584,7
585,0
586,3
587,7
588,5
589,9
590,3
591,4
592,3
593,6
594,5
595,0
596,8
597,6
598,6
599,0
600,2
601,7
602,3
603,0
604,0
605,2
